ORIGIN,DEST,DISTANCE
FLL,DTW,1127
FLL,JFK,1069
FLL,LGA,1076
FLL,TPA,197
FNT,ATL,645
FRG,MSP,1044
GNV,ATL,300
GPT,ATL,352
GRB,DTW,287
GRR,ATL,640
GRR,DTW,120
GSO,ATL,306
GSO,BOS,645
GSP,ATL,153
GTR,ATL,241
HNL,LAX,2556
HNL,SEA,2677
HNL,SFO,2398
HOU,ATL,696
HOU,CLE,1106
HOU,DAL,239
HOU,MEM,484
HOU,MIA,955
HOU,PHX,1020
HPN,BZN,1894
HPN,DEN,1625
HPN,DTW,505
HPN,MDW,730
HPN,RDU,451
HSV,ATL,151
IAD,ADW,33
IAD,ATL,534
IAD,BNA,542
IAD,BUF,283
IAD,CLT,322
IAD,CMH,299
IAD,DTW,383
IAD,EWR,212
IAD,MDW,577
IAD,MEM,742
IAD,MIA,921
IAD,MKE,611
IAD,MSP,908
IAD,RDU,224
IAD,SLC,1828
IAD,SMF,2358
IAH,ATL,689
IAH,DTW,1075
ICT,ATL,782
ILM,ATL,377
IND,DTW,231
IND,EWR,645
IND,HPN,670
IND,IAD,476
IND,JFK,665
IND,LAX,1814
IND,MDW,162
IND,MKE,238
IND,MSP,503
IND,PHL,588
JAN,ATL,341
JFK,ATL,760
JFK,BOS,187
JFK,CLE,425
JFK,CVG,589
JFK,DTW,509
JFK,FLL,1069
JFK,LAS,2248
JFK,LAX,2475
JFK,MCO,944
JFK,MIA,1089
JFK,MSP,1029
JFK,MSY,1182
JFK,OAK,2576
JFK,PBI,1028
JFK,PHX,2153
JFK,RSW,1074
JFK,SAN,2446
JFK,SEA,2422
JFK,SLC,1990
JFK,TPA,1005
KOA,LAX,2504
LAS,JFK,2248
LAS,MEM,1416
LAX,AUS,1242
LAX,BNA,1797
LAX,CLT,2125
LAX,DEN,862
LAX,DTW,1979
LAX,EWR,2454
LAX,HNL,2556
LAX,IND,1814
LAX,JFK,2475
LAX,KOA,2504
LAX,MSP,1535
LAX,MSY,1670
LAX,OAK,337
LAX,OKC,1187
LAX,PDX,834
LAX,PHX,370
LAX,SEA,954
LAX,SFO,337
LAX,SMF,373
LEX,ATL,304
LFT,ATL,503
LGA,BOS,184
LGA,CVG,585
LGA,DTW,502
LGA,FLL,1076
LGA,MCO,950
LGA,MSP,1020
LGA,MSY,1183
LGA,PBI,1035
LGA,PIT,335
LGA,RSW,1080
LGA,TPA,1010
LIT,ATL,453
MCI,ATL,692
MCI,DTW,629
MCI,MSP,393
MCO,ATL,404
MCO,CLT,468
MCO,CVG,757
MCO,DEN,1546
MCO,DTW,957
MCO,HOU,849
MCO,IND,829
MCO,JFK,944
MCO,LGA,950
MCO,MEM,684
